Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: admin | Type: system_admin | DB Role: system_admin
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: dr_tan | Type: health_worker | DB Role: health_worker
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
Login attempt: admin | Type: system_admin | DB Role: system_admin
Login attempt: admin | Type: system_admin | DB Role: system_admin
Login attempt: admin | Type: system_admin | DB Role: system_admin
Login attempt: bhw001 | Type: barangay_health | DB Role: bhw
